Name,State,Notes,User,Tags,Created,Runtime,Sweep,additional.System,additional.run_by,decomposition_type,experimentation.output_path,experimentation.seed,fe.fe_order,fe.fe_type,fe.quad_order,fe.quad_type,fe.rank_list,geometry.exact_solution.exact_solution_file_name,geometry.exact_solution.exact_solution_generation,geometry.external_mesh_params.boundary_refinement_level,geometry.external_mesh_params.boundary_sampling_method,geometry.external_mesh_params.mesh_file_name,geometry.generate_mesh_plot,geometry.internal_mesh_params.n_boundary_points,geometry.internal_mesh_params.n_cells_x,geometry.internal_mesh_params.n_cells_y,geometry.internal_mesh_params.n_test_points_x,geometry.internal_mesh_params.n_test_points_y,geometry.internal_mesh_params.x_max,geometry.internal_mesh_params.x_min,geometry.internal_mesh_params.y_max,geometry.internal_mesh_params.y_min,geometry.mesh_generation_method,geometry.mesh_type,logging.plot_residual_images,logging.print_verbose,logging.test_errors_last_n_epochs,logging.update_console_output,logging.update_progress_bar,logging.update_solution_images,model.activation,model.dtype,model.epochs,model.learning_rate.decay_rate,model.learning_rate.decay_steps,model.learning_rate.initial_learning_rate,model.learning_rate.staircase,model.learning_rate.use_lr_scheduler,model.model_architecture,model.set_memory_growth,model.use_attention,pde.beta,wandb.entity,wandb.project_name,wandb.use_wandb,wandb.wandb_run_prefix,epoch,epochs_per_sec,l2,l2_relative,linf,linf_relative,loss_dirichlet,loss_pde,min_l1,min_l1_rel,min_l2,min_l2_rel,min_linf,min_linf_rel,time_per_epoch,time_taken,total_loss,first_element
gear_16_seed_914_03_Aug_2024_15_18,finished,-,,,2024-08-03T09:58:16.000Z,2079,,23,Jovita,tucker,output/gear_test_seeding/Tucker/16_914,914,4,jacobi,5,gauss-jacobi,"[16, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_16_seed_914,100000,327.9155612176091,0.0161187022071111,0.0538310555700121,0.043599345375061,0.0479674007935215,4.32079323218e-05,0.0003430251090321,0.0096297119798139,0.0488034141264245,0.0132057884615683,0.0441029012997641,0.0574971423783016,0.0632575661220762,0.0030495655536651,4.59796929359436,0.0005590647924691,16
gear_16_seed_759_03_Aug_2024_14_43,finished,-,,,2024-08-03T09:23:24.000Z,2082,,23,Jovita,tucker,output/gear_test_seeding/Tucker/16_759,759,4,jacobi,5,gauss-jacobi,"[16, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_16_seed_759,100000,328.0311470919886,0.0134800437262303,0.0450188218374533,0.0411274344806671,0.0452478383877729,3.51863091054e-05,0.0002752587024588,0.00832081761255,0.0421699328772211,0.0110900114230881,0.0370369160939615,0.0347812759075165,0.0382658819120758,0.0030484910011291,4.6271374225616455,0.0004511902516242,16
gear_16_seed_693_03_Aug_2024_14_08,finished,-,,,2024-08-03T08:48:30.000Z,2083,,23,Jovita,tucker,output/gear_test_seeding/Tucker/16_693,693,4,jacobi,5,gauss-jacobi,"[16, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_16_seed_693,100000,328.07471489135366,0.0159466206165414,0.0532563608119909,0.0468757362251281,0.0515720409941813,4.24471763835e-05,0.0003368724137544,0.0096553119894968,0.0489331550653865,0.0132334517957305,0.044195287551424,0.0409339578037262,0.0450349780058752,0.0030480861663818,4.653293609619141,0.0005491083138622,16
gear_16_seed_105_03_Aug_2024_13_33,finished,-,,,2024-08-03T08:13:39.000Z,2080,,23,Jovita,tucker,output/gear_test_seeding/Tucker/16_105,105,4,jacobi,5,gauss-jacobi,"[16, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_16_seed_105,100000,328.6847224323916,0.0137391106046546,0.0458840182626751,0.0400385805854797,0.0440498962914698,6.69009605189e-05,0.0003563978825695,0.009406202549849,0.0476706675505554,0.0124371438399598,0.0415358862381454,0.0356253646314144,0.0391945367296241,0.0030424292087554,4.614875793457031,0.0006909026997163,16
gear_16_seed_755_03_Aug_2024_12_59,finished,-,,,2024-08-03T07:38:55.000Z,2072,,23,Jovita,tucker,output/gear_test_seeding/Tucker/16_755,755,4,jacobi,5,gauss-jacobi,"[16, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_16_seed_755,100000,329.5692816546856,0.0180842169225397,0.060395215048263,0.0521557042770385,0.0573809893062319,4.84610900457e-05,0.0003731771139428,0.0104817162400475,0.0531213747089239,0.014217781380173,0.0474826180001469,0.0450425754318237,0.0495552226742048,0.0030342633724212,4.582772493362427,0.0006154825678095,16
gear_8_seed_914_31_Jul_2024_15_25,finished,-,,,2024-07-31T09:54:21.000Z,1990,,21,Jovita,tucker,output/gear_test_seeding/tucker/8x16x25_914,914,4,jacobi,5,gauss-jacobi,"[8, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_8_seed_914,100000,305.8927639871435,0.0172322803463373,0.0575500328129687,0.0475771002578735,0.0523436720673419,4.76043351227e-05,0.0004061661893501,0.0117550872783849,0.059574823602395,0.0161086628575554,0.0537975275119294,0.0432545930328369,0.0475881090029748,0.0032691195011138,5.795667171478272,0.0006441878504119,8
gear_8_seed_759_31_Jul_2024_14_52,finished,-,,,2024-07-31T09:21:03.000Z,1985,,21,Jovita,tucker,output/gear_test_seeding/tucker/8x16x25_759,759,4,jacobi,5,gauss-jacobi,"[8, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_8_seed_759,100000,307.3005704137304,0.0249302267600983,0.0832585902296646,0.0677448373908996,0.0745319393873278,6.97519571986e-05,0.0005663174670189,0.0160212705196908,0.081195855249147,0.0211637879261815,0.0706799486266094,0.0580863946475982,0.0639058533733341,0.003254142999649,5.550614595413208,0.0009150772821158,8
gear_8_seed_693_31_Jul_2024_14_19,finished,-,,,2024-07-31T08:47:43.000Z,1986,,21,Jovita,tucker,output/gear_test_seeding/tucker/8x16x25_693,693,4,jacobi,5,gauss-jacobi,"[8, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_8_seed_693,100000,305.28978482269474,0.0310052789225976,0.1035472255272351,0.0742212931709289,0.0816572470599491,8.12882717582e-05,0.0008006113348528,0.0192869323506806,0.0977462408752943,0.026165901914699,0.0873853305254467,0.0665579835968017,0.0732261791486117,0.0032755763530731,5.752075672149658,0.0012070527300238,8
gear_8_seed_105_31_Jul_2024_13_45,finished,-,,,2024-07-31T08:14:18.000Z,1992,,21,Jovita,tucker,output/gear_test_seeding/tucker/8x16x25_105,105,4,jacobi,5,gauss-jacobi,"[8, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_8_seed_105,100000,299.69133458226634,0.0146209133761951,0.0488289435666271,0.0507828265999908,0.0558705681471772,0.0001320285664405,0.0004573744663503,0.0104621526806219,0.0530222265210614,0.0137780038534052,0.0460139086600463,0.0409270226955413,0.045027348095128,0.0033367664813995,5.715460538864136,0.0011175173567608,8
gear_8_seed_755_31_Jul_2024_13_12,finished,-,,,2024-07-31T07:40:57.000Z,1989,,21,Jovita,tucker,output/gear_test_seeding/tucker/8x16x25_755,755,4,jacobi,5,gauss-jacobi,"[8, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_8_seed_755,100000,301.5817513842167,0.0170254299638581,0.0568592219591638,0.0423335116500854,0.0465747479199168,4.41416377725e-05,0.0003900550073012,0.0109116692563262,0.0553003781051148,0.0147111110207969,0.0491301734272234,0.0406327061355114,0.044703545059241,0.0033158504962921,5.711227416992188,0.0006107632070779,8
