first_element,l2_median,l2_std
2,0.2994,7.776211034718615e-08
4,0.0633,0.004042130839230036
6,0.0667,0.003114856529562163
8,0.0762,0.00802148472895304
10,0.0126,0.002694020549272574
12,0.0128,0.0034730322315004044
